claim_id,claimant_name,ssn,dob,injury_date,reported_date,injury_type,body_part,claim_status,adjuster_id,region,claim_amount,employee_id
CLM-00020,Bradley Hansen,697-74-5075,1975-05-29,2024-08-02,2024-08-07,Strain,Lower Back,CLOSED,ADJ-14,Southern CA,7565.59,EMP-W-4123
CLM-00021,Veronica Simpson,713-99-7359,1970-03-27,2025-04-20,2025-04-24,Strain,Neck,CLOSED,ADJ-13,Inland Empire,7622.08,EMP-W-1272
CLM-00022,Lori Green,679-89-3654,04/06/1966,2025-02-17,2025-02-18,Strain,Shoulder,CLOSED,ADJ-11,Northern CA,4391.38,EMP-W-4045
CLM-00023,Steven Griffith,653-15-1889,12-APR-1972,2025-03-26,2025-03-30,Contusion,Hip,OPEN,ADJ-15,Southern CA,5338.66,EMP-W-2857
CLM-00024,Dana Bennett,877-73-4285,1968-11-05,2024-07-18,2024-07-18,Laceration,Scalp,CLOSED,ADJ-09,Sacramento,3292.26,EMP-W-1748
CLM-00025,Daniel Nguyen,780-16-6471,1975-03-21,2024-06-13,06/14/2024,Sprain,Wrist,CLOSED,ADJ-07,Central Valley,6522.03,EMP-W-1575
CLM-00026,Grace Swanson,089-72-8159,16-FEB-1975,2024-08-18,2024-08-18,Laceration,Forearm,OPEN,ADJ-10,Northern CA,3875.99,EMP-W-3833
CLM-00027,"Lopez, Karen",757-19-7243,02/02/2002,2024-02-10,2024-02-13,Laceration  ,Scalp,CLOSED,ADJ-07,inland empire,3323.0,EMP-W-2728
CLM-00028,Jacob Williams,788-06-8252,1974-04-28,2024-07-09,2024-07-10,Contusion,Hip,CLOSED,ADJ-06,N/A,6257.53,EMP-W-2282
CLM-00029,Priscilla Floyd,157-38-8284,1965-10-18,2024-05-28,28-MAY-2024,Burn,Arm,OPEN,ADJ-09,Sacramento,19567.3,EMP-W-2804
CLM-00030,Robert Martin,147-71-5203,1965-04-28,17-MAY-2025,18-MAY-2025,Burn,Arm,OPEN,ADJ-09,Inland Empire,15507.91,EMP-W-4881
CLM-00031,Nicholas Scott,12-345-678,1989-05-11,04/07/2025,2025-04-11,Strain,Neck,CLOSED,ADJ-01,Sacramento,10658.77,EMP-W-3593
CLM-00032,Joann Ferguson,531-69-0287,07/24/2003,2025-06-14,2025-06-28,Fracture,Leg,CLOSED,ADJ-08,Inland Empire,14143.76,EMP-W-1442
CLM-00033,Sarah Wheeler,878-29-0577,1999-10-27,02/26/2024,02/26/2024,Burn,Face,CLOSED,ADJ-12,Sacramento,18076.4,EMP-W-4158
CLM-00034,Laurie Shaw,559-10-0325,2005-08-14,2025-01-25,2025-01-27,Strain,Lower Back,CLOSED,ADJ-14,Northern CA,7813.09,EMP-W-3511
CLM-00035,Stacie Butler,844-61-9364,2005-05-05,16-AUG-2024,08/17/2024,Sprain,Knee,OPEN,ADJ-03,Sacramento,1969.44,EMP-W-2840
CLM-00036,Rachel Jones,148-37-2857,11/25/1987,2024-03-10,2024-03-13,Strain,Shoulder,OPEN,ADJ-13,Bay Area,7606.71,EMP-W-1756
CLM-00037,Bruce Hernandez,129-81-5783,1975-08-17,2024-01-18,2024-01-19,Contusion,Thigh,OPEN,ADJ-01,Southern CA,8077.85,EMP-W-2680
CLM-00038,Deborah Fisher,730-25-9313,09/15/1974,2024-09-13,16-SEP-2024,Laceration,Scalp,CLOSED,ADJ-08,Sacramento,2969.22,EMP-W-3798
CLM-00039,Benjamin Reyes,853-80-6753,12/04/1964,2024-07-14,2024-07-19,Sprain,Ankle,CLOSED,ADJ-15,Central Valley,5438.17,EMP-W-1844
CLM-00040,Michael Webster,205-28-5533,1999-01-03,09-APR-2024,2024-04-09,Fracture,Wrist,CLOSED,ADJ-06,Bay Area,14795,EMP-W-2994
CLM-00041,Angela Watson,155-53-5186,1993-05-08,2024-10-14,2024-10-15,Burn,Hand,OPEN,ADJ-08,Bay Area,20303.09,EMP-W-3263
CLM-00042,Anthony Humphrey,874-12-5134,1985-09-26,2024-01-20,2024-01-23,Burn,Face,CLOSED,ADJ-12,Central Valley,14146.93,EMP-W-1044
CLM-00043,Eduardo Obrien,208-96-2468,12/17/1975,2024-03-17,2024-04-12,Strain,Lower Back,OPEN,ADJ-14,Bay Area,7950.61,EMP-W-4303
CLM-00044,Autumn Anderson,168-54-1941,09/08/1997,2024-10-30,2024-11-03,Burn,Face,CLOSED,ADJ-06,Inland Empire,7418,EMP-W-2617
CLM-00045,Nicole Herring,634-53-2594,1999-09-08,2025-02-23,2025-02-26,Burn,Hand,CLOSED,ADJ-07,Central Valley,19773.22,EMP-W-1175
CLM-00046,Ruth Clayton,786-03-9604,04/16/2008,11/27/2024,2024-12-01,Strain,Lower Back,CLOSED,ADJ-08,Southern CA,8154.03,EMP-W-2448
CLM-00047,Kelly Phillips,838-47-7225,2001-04-07,2024-07-18,2024-07-20,Fracture,Arm,OPEN,ADJ-12,Sacramento,11082.69,EMP-W-3274
CLM-00048,Angel Aguirre,555-0100,1962-10-25,2024-05-03,2024-05-17,Sprain,Knee,CLOSED,ADJ-04,Central Valley,2870.77,EMP-W-3646
CLM-00049,Michael Ellis,650-42-4790,1967-02-12,2024-08-28,2024-08-30,Sprain,Knee,CLOSED,ADJ-13,Bay Area,8035.42,EMP-W-3142
CLM-00050,Bradley Thornton,364-78-8106,1962-07-20,2024-03-10,03/11/2024,Laceration,Scalp,CLOSED,ADJ-06,Inland Empire,3725.42,EMP-W-3856
CLM-00051,Brett Owen,327-22-0853,2005-08-28,2024-11-01,2024-11-06,Sprain,Ankle,CLOSED,ADJ-05,Northern CA,6741.88,EMP-W-4043
CLM-00052,Kristina Monroe,245-90-5024,1979-05-15,2024-02-24,2024-02-27,Sprain,Ankle,OPEN,ADJ-05,Central Valley,10100.82,EMP-W-4938
CLM-00053,Teresa Li,460-56-5530,1964-03-20,2025-04-03,2025-04-08,Sprain,Ankle,CLOSED,ADJ-14,Central Valley,7951.5,EMP-W-4946
CLM-00054,Jesse Tucker,390-50-0590,2007-03-10,2025-01-02,2025-01-05,Sprain,Wrist,OPEN,ADJ-03,Bay Area,8952.94,EMP-W-4625
CLM-00055,Dr. Gregory Arnold,277-90-6147,04/21/1984,2024-04-18,2024-04-19,Laceration,Scalp,OPEN,ADJ-04,Inland Empire,4037.29,EMP-W-4072
CLM-00056,Michele Cherry,376-66-6956,1989-03-04,2025-01-18,01/22/2025,Fracture,Hand,OPEN,ADJ-11,Central Valley,20671.83,EMP-W-2230
CLM-00057,Christine Bell,825-86-5221,1996-02-02,11-MAY-2024,2024-05-16,Strain,Lower Back,OPEN,ADJ-08,Bay Area,9367.81,EMP-W-2682
CLM-00058,Richard Rios,885-10-0159,1962-05-19,2025-03-31,31-MAR-2025,Laceration,Hand,CLOSED,ADJ-12,Sacramento,3239.05,EMP-W-4464
CLM-00059,Sabrina Rodriguez,755-44-1154,02/05/1972,2025-01-17,2025-01-20,Burn,Face,CLOSED,ADJ-07,Bay Area,20873.29,EMP-W-2828
CLM-00060,Jesse Sampson,597-81-7550,2004-05-27,2024-02-13,2024-02-16,Strain,Neck,CLOSED,ADJ-15,Northern CA,6166.06,EMP-W-2665
CLM-00061,Kimberly Choi,735-11-6339,08-APR-1983,2024-11-30,2024-12-03,Contusion,Thigh,CLOSED,ADJ-14,Inland Empire,6882.12,EMP-W-2244
CLM-00062,Jason Flores,641-68-3157,1993-11-10,05-JAN-2025,2025-01-09,Fracture,Leg,CLOSED,ADJ-03,Bay Area,19561.92,EMP-W-3820
CLM-00063,John Austin,203-34-2358,1998-05-07,2024-10-10,10/11/2024,Contusion,Thigh,CLOSED,ADJ-05,Sacramento,5445.57,EMP-W-2383
CLM-00064,Lydia Howard,519-82-4677,1976-04-25,2025-01-28,2025-01-31,Sprain,Knee,CLOSED,ADJ-04,Inland Empire,5791.38,EMP-W-2813
CLM-00065,Courtney Rodriguez,635-97-7047,11/27/1966,2024-12-22,2024-12-24,Laceration,Forearm,CLOSED,ADJ-14,Sacramento,2778.44,EMP-W-1367
CLM-00066,Nicholas Lawrence,512-39-8014,1982-10-18,2024-05-07,2024-05-11,Sprain,Knee,OPEN,ADJ-03,Sacramento,4866.96,EMP-W-2103
CLM-00067,Bob Jones,157-19-6318,1990-01-07,2024-02-13,2024-02-13,Sprain,Ankle,CLOSED,ADJ-08,Inland Empire,6257.37,EMP-W-3923
CLM-00068,Kathy Bailey,223-13-0269,1988-02-03,2024-11-05,11/06/2024,Burn,Arm,OPEN,ADJ-12,Central Valley,12954.48,EMP-W-4238
CLM-00069,Mark Davis,484-20-4439,1984-06-02,2025-05-14,2025-05-19,Strain,Neck,OPEN,ADJ-10,Sacramento,8504.14,EMP-W-3399
CLM-00070,Angie Henderson,444-56-2619,1994-08-17,2024-02-08,2024-02-08,Strain,Lower Back,CLOSED,ADJ-03,Inland Empire,8763.32,EMP-W-1003
CLM-00071,Patricia Hamilton,823-28-6822,11/04/1994,2025-02-13,2025-02-13,Fracture,Hand,CLOSED,ADJ-11,Bay Area,36597.26,EMP-W-3072
CLM-00072,Christian Leblanc,379-73-7759,1965-10-04,2024-11-13,2024-12-09,Strain,Lower Back,CLOSED,ADJ-01,Southern CA,7048.44,EMP-W-1359
CLM-00073,Martha Bailey,569-44-9458,1983-12-29,2024-12-19,2025-01-04,Laceration,Hand,CLOSED,ADJ-08,Inland Empire,1698.7,EMP-W-1642
CLM-00074,Jaclyn Watson,321-66-1567,09-AUG-1987,2024-08-24,2024-08-28,Laceration,Forearm,CLOSED,ADJ-15,Inland Empire,6493.04,EMP-W-2944
CLM-00075,Brett Burns,373-08-7762,1978-03-30,2025-05-06,2025-05-11,Fracture,Leg,OPEN,ADJ-05,Central Valley,8066.84,EMP-W-1327
CLM-00076,Derek Mcintosh,612-78-1973,1981-07-31,06/07/2025,2025-06-09,Contusion,Hip,OPEN,ADJ-02,unknown,8145.41,EMP-W-4138
CLM-00077,Abigail Baird,752-08-3194,1997-02-01,2025-01-12,02/03/2025,Laceration,Forearm,CLOSED,ADJ-01,Inland Empire,2951.43,EMP-W-2876
CLM-00078,"Greer, Carolyn",477-19-7319,2004-01-21,2024-08-05,2024-08-05,Strain  ,Lower Back,CLOSED,ADJ-14,sacramento,6600.75,EMP-W-2304
CLM-00079,Amber Kennedy,392-72-2572,2001-11-16,2024-09-01,01-SEP-2024,Burn,Face,CLOSED,ADJ-12,Southern CA,22690.98,EMP-W-4368
CLM-00080,Brian Rodriguez,054-42-9054,1993-12-06,08/11/2024,2024-08-11,Laceration,Hand,CLOSED,ADJ-14,Inland Empire,4570.02,EMP-W-3802
CLM-00081,Lisa Hensley,660-37-5309,1999-12-15,2024-06-11,2024-06-11,Laceration,Forearm,OPEN,ADJ-04,N/A,2340.08,EMP-W-1013
CLM-00082,Anna Higgins,731-31-1506,1985-12-25,2024-04-11,2024-04-13,Fracture,Arm,OPEN,ADJ-15,Bay Area,10199.91,EMP-W-9999
CLM-00083,Haley May,460-21-1889,1979-03-18,2024-03-19,03/20/2024,Contusion,Shoulder,CLOSED,ADJ-08,Central Valley,6132.26,EMP-W-2765
CLM-00084,David Williams,233-31-0926,2005-05-04,2025-05-16,05/17/2025,Burn,Arm,OPEN,ADJ-09,Sacramento,10878.69,EMP-W-3851
CLM-00085,Jonathon Hill,513-41-5292,1987-11-01,2024-06-06,2024-06-07,Burn,Hand,CLOSED,ADJ-09,Southern CA,18518.25,EMP-W-4420
CLM-00086,Lori Ingram,775-82-6485,1962-10-10,2024-02-25,2024-02-25,Burn,Arm,CLOSED,ADJ-12,Inland Empire,19035.27,EMP-W-1473
CLM-00087,Justin Cuevas,358-90-1321,01/15/2001,2024-03-26,2024-03-31,Burn,Arm,CLOSED,ADJ-13,Bay Area,12269.03,EMP-W-4535
CLM-00088,John Rogers,773-78-4199,1984-03-23,2024-12-19,2024-12-19,Sprain,Wrist,CLOSED,ADJ-09,Southern CA,5378.25,EMP-W-4629
CLM-00089,Ross Wallace,824-14-3369,01/31/1975,2025-06-22,2025-07-08,Strain,Shoulder,OPEN,ADJ-14,Central Valley,8841.56,EMP-W-4222
CLM-00090,Matthew Harrington,778-73-4893,2008-05-26,2024-08-22,2024-08-24,Sprain,Wrist,CLOSED,ADJ-05,Southern CA,4828.65,EMP-W-1174
CLM-00091,Ashley Parrish,691-28-9720,02/09/1982,2024-08-09,11-AUG-2024,Sprain,Ankle,CLOSED,ADJ-10,Northern CA,6558.43,EMP-W-2194
CLM-00092,Joshua Mendoza,370-60-0891,07/19/2005,12/01/2024,12/01/2024,Contusion,Hip,CLOSED,ADJ-07,Sacramento,9722.69,EMP-W-3507
CLM-00093,Maria Valenzuela,642-30-9288,1978-08-20,2024-10-20,2024-10-21,Contusion,Thigh,CLOSED,ADJ-14,Bay Area,6272.58,EMP-W-4567
CLM-00094,Elizabeth Key,492-72-9777,11/18/1980,2024-02-26,2024-02-27,Strain,Lower Back,CLOSED,ADJ-10,Bay Area,7081.01,EMP-W-4846
CLM-00095,Laura Sweeney,815-86-4072,1966-10-01,03-MAY-2025,07-MAY-2025,Fracture,Leg,OPEN,ADJ-04,Southern CA,29269.21,EMP-W-2404
CLM-00096,Bryan Burns,632-14-0005,1963-08-03,2024-06-28,2024-06-28,Fracture,Leg,CLOSED,ADJ-05,Southern CA,22120,EMP-W-4635
CLM-00097,Jenna Bryant,635-07-0184,02/16/1980,02/21/2025,02/21/2025,Strain,Neck,OPEN,ADJ-10,Sacramento,5491.71,EMP-W-2167
CLM-00098,Samantha Robertson,670-03-4874,11/05/1963,2024-11-14,2024-11-16,Sprain,Knee,CLOSED,ADJ-01,Southern CA,4713.73,EMP-W-1611
CLM-00099,Bryan Herrera,123-39-2324,06-MAY-1979,08/13/2024,2024-08-15,Burn,Hand,CLOSED,ADJ-05,Central Valley,7803.05,EMP-W-1207
CLM-00100,Kenneth Knight,277-03-9228,1994-02-09,2024-04-21,2024-04-21,Fracture,Hand,CLOSED,ADJ-15,Southern CA,19350.6,EMP-W-1830
CLM-00101,Maria Ferguson,673-09-4602,08/16/1980,26-MAY-2025,2025-05-27,Laceration,Scalp,OPEN,ADJ-14,Southern CA,1513.54,EMP-W-4708
CLM-00102,"Sparks, Melissa",737-62-3322,1979-08-27,2025-01-08,2025-01-11,sprain,Ankle,CLOSED,ADJ-14,southern ca,10640.16,EMP-W-3123
CLM-00103,Vincent Reynolds,025-86-4456,04/06/1974,2024-02-04,09-FEB-2024,Strain,Neck,OPEN,ADJ-09,Central Valley,7356.71,EMP-W-1520
CLM-00104,Michael Williams,468-61-8923,1972-08-13,2024-03-20,20-MAR-2024,Fracture,Hand,OPEN,ADJ-10,Sacramento,22482.38,EMP-W-2852
CLM-00105,Austin Schultz,383-85-6083,17-DEC-1998,2024-02-09,2024-02-11,Burn,Hand,OPEN,ADJ-14,Northern CA,14282.32,EMP-W-2360
CLM-00106,Jorge Stone,152-87-8103,2007-06-12,09-MAY-2025,2025-05-12,Contusion,Hip,CLOSED,ADJ-07,Sacramento,6126.08,EMP-W-1765
CLM-00107,Bryan Moore,556-53-5904,1990-11-04,2024-11-09,2024-11-09,Strain,Lower Back,OPEN,ADJ-14,Sacramento,7667.31,EMP-W-1919
CLM-00108,Angelica Clark,089-78-4149,1970-10-31,2024-04-09,04/11/2024,Burn,Face,CLOSED,ADJ-14,Southern CA,22899.16,EMP-W-2950
CLM-00109,"Smith, Kelli",836-27-6494,1967-01-10,2024-01-07,2024-01-07,strain,Lower Back,CLOSED,ADJ-11,southern ca,9193.53,EMP-W-2362
CLM-00110,Kara Rogers,701-91-5487,10/02/1994,2024-01-07,01/12/2024,Laceration,Hand,OPEN,ADJ-05,Southern CA,3516.94,EMP-W-3635
CLM-00111,Matthew Moon,12-345-678,1998-10-14,2024-01-09,2024-01-13,Laceration,Scalp,CLOSED,ADJ-03,Southern CA,4678.14,EMP-W-1242
CLM-00112,Melanie Villarreal,074-89-5023,1977-12-02,2024-08-10,08/15/2024,Burn,Face,CLOSED,ADJ-01,Northern CA,10037.59,EMP-W-4225
CLM-00113,Michael Lucas,464-16-6913,10/17/1985,2024-04-29,2024-05-03,Laceration,Scalp,CLOSED,ADJ-03,Central Valley,4523.5,EMP-W-3366
CLM-00114,Annette Lewis,033-64-5237,1985-05-20,04/21/2025,2025-04-25,Contusion,Thigh,OPEN,ADJ-11,Southern CA,9012.74,EMP-W-3003
CLM-00115,Nicholas Beard,778-12-7781,1978-08-16,2025-03-01,2025-03-01,Sprain,Ankle,CLOSED,ADJ-02,Sacramento,8209.84,EMP-W-4373
CLM-00116,Shawna Green,331-40-9055,1992-03-02,07/21/2024,2024-07-26,Laceration,Hand,OPEN,ADJ-10,Southern CA,4880.81,EMP-W-4113
CLM-00117,Melissa Banks,222-79-6728,1967-12-05,07-AUG-2024,2024-08-11,Burn,Arm,CLOSED,ADJ-08,Bay Area,23038.79,EMP-W-4015
CLM-00118,Brian Rodriguez,011-88-2104,2001-11-05,2024-05-13,2024-05-18,Laceration,Hand,OPEN,ADJ-06,Northern CA,4749.48,EMP-W-1092
CLM-00119,Lisa Hunter,179-58-4807,07/16/1972,2024-10-09,2024-10-09,Laceration,Forearm,CLOSED,ADJ-01,Sacramento,4282.64,EMP-W-1412
CLM-00120,Courtney Mills,045-39-2993,1976-09-01,2024-08-22,2024-08-24,Laceration,Scalp,CLOSED,ADJ-05,N/A,4800.98,EMP-W-1221
CLM-00121,Kathryn Snyder,814-90-7045,1962-11-11,2025-02-28,03/02/2025,Fracture,Hand,CLOSED,ADJ-02,Bay Area,12933.11,EMP-W-1236
CLM-00122,Robert Tapia,726-68-6035,2004-08-30,2024-10-26,2024-10-26,Laceration,Forearm,CLOSED,ADJ-01,Central Valley,3059.95,EMP-W-4333
CLM-00123,Miss Leslie Booker,557-14-6859,1993-09-11,2024-09-22,09/26/2024,Strain,Shoulder,OPEN,ADJ-04,Northern CA,7932.61,EMP-W-3701
CLM-00124,Elijah Wall,124-04-2655,1967-05-05,07/12/2024,2024-08-08,Strain,Lower Back,CLOSED,ADJ-11,Bay Area,9252.03,EMP-W-3731
CLM-00125,Robert Green,597-53-1899,1999-07-20,2025-04-08,2025-04-09,Strain,Neck,CLOSED,ADJ-09,Northern CA,11664.15,EMP-W-2759
CLM-00126,Nathan Malone,538-86-4357,2001-04-24,2024-03-05,2024-03-16,Laceration,Hand,CLOSED,ADJ-12,Southern CA,3458.22,EMP-W-1280
CLM-00127,Patrick Harris,567-82-8871,1966-04-16,02/12/2024,2024-02-17,Contusion,Thigh,CLOSED,ADJ-14,Sacramento,2386.11,EMP-W-3436
CLM-00128,Ricky Davis II,150-86-2081,02/28/1996,2024-05-18,05/23/2024,Strain,Lower Back,CLOSED,ADJ-13,Central Valley,10452.68,EMP-W-1202
CLM-00129,Michele Holland,892-42-6466,1963-05-07,10/07/2024,10/12/2024,Laceration,Forearm,OPEN,ADJ-07,Central Valley,5396.97,EMP-W-2202
CLM-00130,Jeremy Dalton,198-86-6123,21-JAN-1988,2024-12-08,12/10/2024,Strain,Neck,CLOSED,ADJ-12,Inland Empire,7076.36,EMP-W-1222
CLM-00131,Dr. April Jones,444-77-0507,11-NOV-1989,01/07/2024,01/11/2024,Laceration,Hand,CLOSED,ADJ-09,Central Valley,5398.86,EMP-W-3620
CLM-00132,Erica Brown,068-72-1391,1971-05-16,2024-12-24,2024-12-29,Strain,Neck,CLOSED,ADJ-09,Southern CA,10169.44,EMP-W-3181
CLM-00133,Mary Alvarez,876-61-8380,1994-08-29,2024-06-19,2024-06-19,Burn,Face,CLOSED,ADJ-11,Southern CA,13611.99,EMP-W-3643
CLM-00134,Curtis Wilkerson,396-97-9660,02-AUG-1999,2024-11-08,2024-11-13,Fracture,Leg,OPEN,ADJ-12,Central Valley,19484.56,EMP-W-1940
CLM-00135,Colleen Cox,699-78-9820,2006-06-12,03/03/2024,2024-03-06,Burn,Face,CLOSED,ADJ-05,Central Valley,15079.44,EMP-W-4131
CLM-00136,Christopher Moore,645-35-4445,1981-02-15,2024-04-05,2024-04-06,Fracture,Hand,OPEN,ADJ-04,Inland Empire,11645.11,EMP-W-9999
CLM-00137,Christina Wilson,686-85-3086,08-MAR-2003,2024-03-29,2024-04-03,Fracture,Arm,OPEN,ADJ-05,Bay Area,27742.64,EMP-W-4753
CLM-00138,Christian Wagner,806-18-4834,1974-05-23,06/18/2025,2025-06-19,Fracture,Hand,CLOSED,ADJ-14,Bay Area,15472.07,EMP-W-4130
CLM-00139,David Grant,664-64-6144,1978-03-07,05/23/2025,2025-05-28,Sprain,Wrist,CLOSED,ADJ-01,Bay Area,5921.0,EMP-W-9999
CLM-00140,Joseph Heath,402-62-4436,2000-02-17,2024-03-29,2024-04-03,Laceration,Hand,OPEN,ADJ-04,Central Valley,2801.93,EMP-W-4457
CLM-00141,Thomas Peterson,471-69-5594,1971-06-04,04/24/2025,2025-04-25,Contusion,Thigh,OPEN,ADJ-03,Sacramento,1156.39,EMP-W-1577
CLM-00142,Justin Mcbride,261-78-1181,08/25/1978,08/15/2024,2024-08-15,Contusion,Hip,CLOSED,ADJ-15,Inland Empire,4788.45,EMP-W-3720
CLM-00143,"Ward, Mr.",128-49-9023,1988-03-19,2024-12-08,2024-12-10,Strain  ,Neck,OPEN,ADJ-08,sacramento,12230.79,EMP-W-3213
CLM-00144,Jason Crawford,273-07-7008,2004-03-16,2025-01-14,2025-01-16,Burn,Face,OPEN,ADJ-02,Inland Empire,12599.65,EMP-W-2664
CLM-00145,Ashley Phillips,285-14-8987,11/20/1997,19-APR-2025,2025-04-19,Sprain,Ankle,OPEN,ADJ-10,Inland Empire,7227.69,EMP-W-3885
CLM-00146,Christina Mccarthy,275-17-1572,12-MAR-2008,2024-05-30,05/30/2024,Contusion,Hip,CLOSED,ADJ-10,Sacramento,2845.75,EMP-W-3810
CLM-00147,Lisa Hernandez,434-27-0655,2006-05-25,2024-12-01,2024-12-03,Sprain,Wrist,OPEN,ADJ-04,Central Valley,8962.67,EMP-W-4468
CLM-00148,Becky Wilson,634-78-9349,1979-08-13,2024-05-19,2024-05-19,Laceration,Hand,CLOSED,ADJ-15,Central Valley,4563.86,EMP-W-2609
CLM-00149,Lauren Haley,094-74-4420,07/21/1994,2024-05-09,2024-05-09,Strain,Shoulder,OPEN,ADJ-04,Inland Empire,6351.26,EMP-W-2898
CLM-00150,Joshua Martin,128-13-4034,1989-02-13,2024-04-06,04/11/2024,Sprain,Knee,CLOSED,ADJ-06,Southern CA,6023.62,EMP-W-2927
CLM-00151,Kevin Walters,446-75-9826,10/12/1987,10/11/2024,2024-10-16,Fracture,Wrist,CLOSED,ADJ-09,Inland Empire,23628.78,EMP-W-1243
CLM-00152,David Williams,457-28-3805,1968-04-17,05/14/2024,2024-05-16,Sprain,Ankle,OPEN,ADJ-15,Bay Area,5210.55,EMP-W-3851
CLM-00153,James Greene,022-64-8316,2003-05-11,2024-03-16,2024-03-19,Strain,Neck,OPEN,ADJ-03,Sacramento,8000.68,EMP-W-3451
CLM-00154,Kimberly Fritz,415-36-4076,03/30/1981,2024-07-12,2024-07-16,Burn,Hand,CLOSED,ADJ-07,Southern CA,26458.35,EMP-W-1805
CLM-00155,Lucas Nguyen,237-49-9838,1993-06-05,2024-09-26,09/27/2024,Burn,Hand,OPEN,ADJ-05,Central Valley,4109.73,EMP-W-3339
CLM-00156,Douglas Trevino,025-88-9230,1978-01-27,2024-10-02,10/05/2024,Burn,Hand,CLOSED,ADJ-05,Inland Empire,16189.4,EMP-W-4189
CLM-00157,Mariah Robles,661-90-1060,03/28/1992,2025-01-11,01/15/2025,Sprain,Ankle,OPEN,ADJ-07,Bay Area,6891.89,EMP-W-2132
CLM-00158,Nicholas Abbott,731-03-6372,2000-05-13,2024-05-25,2024-05-25,Fracture,Leg,CLOSED,ADJ-15,Sacramento,17310.63,EMP-W-4367
CLM-00159,Joe Greene,267-62-2591,1972-12-07,2024-11-27,2024-11-27,Laceration,Forearm,CLOSED,ADJ-11,Bay Area,3322.4,EMP-W-3365
CLM-00160,Jordan Nelson,225-75-8474,03/26/2002,03/29/2024,03/30/2024,Burn,Face,OPEN,ADJ-10,Northern CA,31118,EMP-W-3168
CLM-00161,Jonathan Peterson,082-68-4181,18-APR-1992,2025-02-02,2025-02-02,Contusion,Shoulder,OPEN,ADJ-14,Southern CA,5775.25,EMP-W-1187
