employee_id,full_name,job_class,hire_date,annual_wage,employer_id
EMP-W-1061,Victoria Garcia,Warehouse,02-MAY-2021,31708,EMP-117
EMP-W-1062,Gerald Hensley,Warehouse,2002-09-26,55972,EMP-134
EMP-W-1063,Connor West,Construction,2018-07-30,64929,EMP-115
EMP-W-1064,Donald Wright,office,2003-04-18,72552,EMP-112
EMP-W-1065,Jessica Callahan,Driver,04/12/2020,74802,EMP-127
EMP-W-1066,Amber Kidd,Office,2008-08-14,76280,EMP-126
EMP-W-1067,Tracy House,Laborer,2003-07-25,55722,EMP-106
EMP-W-1068,Carol Tucker,Office,2021-10-16,53677,EMP-121
EMP-W-1069,James Brown,Warehouse,2019-08-11,77443,EMP-112
EMP-W-1070,William Baker,Construction,2015-12-24,58556,EMP-108
EMP-W-1071,Jordan Henderson,Machinist,2005-08-02,39037,EMP-117
EMP-W-1072,Whitney Peters,Warehouse,2003-10-05,41600,EMP-104
EMP-W-1073,Brittney Phillips,Driver,19-AUG-2004,45449,EMP-103
EMP-W-1074,Lauren Daniels,Laborer,2000-04-06,70948,EMP-105
EMP-W-1075,Amy Silva,Machinist,2013-11-28,64563,EMP-126
EMP-W-1076,Sarah Moore,Construction,09/23/2002,74428,EMP-113
EMP-W-1077,Angela Lopez,Laborer,2006-07-10,54309,EMP-110
EMP-W-1078,Megan Young,Laborer,2007-07-06,64853,EMP-124
EMP-W-1079,Steve Sanchez,Construction,12-AUG-2012,73260,EMP-118
EMP-W-1080,Lisa Barnes,Construction,2005-07-15,56431,EMP-109
EMP-W-1081,Kelly Donovan,Welder,2015-12-29,70221,EMP-113
EMP-W-1082,Mike Allen,Laborer,20-NOV-2021,50085,EMP-120
EMP-W-1083,Michael Evans,Laborer,2021-12-12,55465,EMP-137
EMP-W-1084,Paul Jones,Machinist,2003-02-15,55128,EMP-103
EMP-W-1085,Zachary Ferrell,Driver,2001-09-24,40474,EMP-111
EMP-W-1086,Daniel Baker,Driver,2021-06-09,70765,EMP-115
EMP-W-1087,Shirley Suarez,Driver,2006-05-26,53550,EMP-136
EMP-W-1088,Christopher Bass,Laborer,06/20/2013,62224,EMP-139
EMP-W-1089,Lisa Archer,Office,2020-10-31,70653,EMP-137
EMP-W-1090,Aimee Montoya,Supervisor,2001-01-22,70037,EMP-116
EMP-W-1091,Matthew Mcmillan,Supervisor,2015-05-08,73976,EMP-115
EMP-W-1092,Brian Rodriguez,Office,2012-08-06,60227,EMP-108
EMP-W-1093,Denise Jacobs,Construction,2011-01-20,54380,EMP-120
EMP-W-1094,Christina Walters,Laborer,2021-04-04,60565,EMP-129
EMP-W-1095,John Whitehead,Driver,2020-01-10,31627,EMP-134
EMP-W-1096,Anna Henderson,Welder,12/13/2014,35951,EMP-108
EMP-W-1097,Aaron Wise,Driver,11/08/2008,38191,EMP-115
EMP-W-1098,Deborah Figueroa,Welder,2007-12-08,44049,EMP-110
EMP-W-1099,Jessica Smith,Welder,2004-11-08,69195,EMP-139
EMP-W-1100,Stephen Mckee,Laborer,2000-10-13,45701,EMP-135
EMP-W-1101,Sandra Aguilar,Driver,01/30/2011,55193,EMP-108
EMP-W-1102,Cameron Parker,Driver,24-AUG-2012,85386,EMP-106
EMP-W-1103,Rebecca Valencia,Welder,2017-07-16,55587,EMP-118
EMP-W-1104,Christine Wright,Supervisor,2015-01-24,75275,EMP-113
EMP-W-1105,Richard Henson,Construction,2012-09-01,45194,EMP-116
EMP-W-1106,Marc Moore,Driver,2022-03-26,58302,EMP-127
EMP-W-1107,Sharon Cherry,Laborer,02/06/2012,44899,EMP-100
EMP-W-1108,Sierra Johnson,Machinist,2009-07-20,55897,EMP-116
EMP-W-1109,Evelyn Galvan,Construction,2017-04-06,77125,EMP-135
EMP-W-1110,Sharon Cochran,Laborer,2005-04-29,30908,EMP-107
EMP-W-1111,Richard Rodriguez,machinist,2021-02-19,69819,EMP-134
EMP-W-1112,Shannon Walker,Supervisor,11/23/2022,66279,EMP-137
EMP-W-1113,Julia Torres,Office,2017-11-13,51305,EMP-108
EMP-W-1114,Crystal Johnson,Welder,2022-08-20,35970,EMP-123
EMP-W-1115,Garrett Lin,Supervisor ,09/21/2022,63298,EMP-113
EMP-W-1116,Diana May,Driver,2013-04-26,52469,EMP-122
EMP-W-1117,William Herrera,Machinist,2006-04-13,66188,EMP-115
EMP-W-1118,Ashley Waller,Machinist,2017-03-22,62393,EMP-126
EMP-W-1119,Victor Baker,Machinist,2023-05-26,90832,EMP-121
EMP-W-1120,Jeffrey Chandler,Warehouse,2006-01-16,57691,EMP-117
EMP-W-1121,Larry Dixon,Driver,2017-05-15,43577,EMP-124
EMP-W-1122,Kenneth Scott,Construction,10/10/2022,65226,EMP-114
EMP-W-1123,April Frost,Construction,2015-07-24,65959,EMP-122
EMP-W-1124,Michelle Harmon,Warehouse,10/27/2010,86465,EMP-114
EMP-W-1125,Helen Jones,Warehouse,06/14/2023,77032,EMP-125
EMP-W-1126,Erin Edwards,Welder,2009-10-14,68423,EMP-104
EMP-W-1127,Michelle Evans,Supervisor,2011-12-28,88339,EMP-132
EMP-W-1128,Jason Powell,Supervisor,2006-08-01,40602,EMP-101
EMP-W-1129,Cameron Fisher,Welder,2019-05-04,50484,EMP-111
EMP-W-1130,Megan Orr,Laborer,2012-08-08,45321,EMP-106
EMP-W-1131,Elizabeth Kelley,Supervisor,2005-01-07,54983,EMP-120
EMP-W-1132,Dustin Jordan,Driver,2004-12-08,37219,EMP-124
EMP-W-1133,Mary Marshall,Welder,2015-12-26,73432,EMP-102
EMP-W-1134,Daniel Kennedy,Laborer,2004-12-13,57999,EMP-133
EMP-W-1135,Rebecca Jackson,Warehouse,11-MAY-2000,35525,EMP-123
EMP-W-1136,Jose Schultz,Driver,01-MAR-2005,43719,EMP-121
EMP-W-1137,Robert Potter,Driver,06-JUN-2010,67643,EMP-119
EMP-W-1138,Courtney Gonzalez,Welder,10/06/2001,77086,EMP-126
EMP-W-1139,David Alvarez,Office,2009-11-17,97941,EMP-118
EMP-W-1140,Angel Perry,Warehouse,2018-10-20,114449,EMP-126
EMP-W-1141,Cheyenne Horton,Machinist,07/04/2007,69459,EMP-139
EMP-W-1142,David Douglas Jr.,Office,01/05/2011,44188,EMP-135
EMP-W-1143,Patricia Rodriguez,Welder,2024-06-29,28000,EMP-118
EMP-W-1144,Christopher Rubio,Office,2015-01-31,66818,EMP-137
EMP-W-1145,Amber Wright,Construction,2010-01-21,47367,EMP-128
EMP-W-1146,Joyce Solis,Warehouse,2004-09-04,54523,EMP-132
EMP-W-1147,Victoria Larson,Machinist,2003-04-15,50982,EMP-105
EMP-W-1148,Stephanie Salazar,Supervisor,2011-10-13,59465,EMP-105
EMP-W-1149,Kathy Rivas,Welder,12/22/2013,81187,EMP-114
EMP-W-1150,Stephanie Manning,Machinist,07/31/2015,64826,EMP-101
EMP-W-1151,David Wright,Warehouse,09-JUN-2022,59144,EMP-130
EMP-W-1152,Pamela Boyd,Construction,03/30/2021,43358,EMP-126
EMP-W-1153,Denise Jones,Office,2015-10-16,31855,EMP-131
EMP-W-1154,Devon Flores,Warehouse,2006-08-02,53246,EMP-109
EMP-W-1155,Brenda Hall,Driver,2024-04-06,61031,EMP-127
EMP-W-1156,Michelle Brown,Machinist,2014-09-11,93822,EMP-133
EMP-W-1157,Joshua Perry,Laborer,2003-09-03,64344,EMP-135
EMP-W-1158,Jason Stein,Driver,2013-05-02,79689,EMP-129
EMP-W-1159,Melissa Gates,Construction,2018-07-13,53012,EMP-133
EMP-W-1160,Jamie Smith,Construction,12-APR-2010,40671,EMP-139
EMP-W-1161,Paul Castaneda,Office,2001-11-13,44627,EMP-135
EMP-W-1162,Jennifer Adkins,Machinist,2004-07-05,48945,EMP-130
EMP-W-1163,Lindsey Walker,Welder,04/28/2004,100312,EMP-115
EMP-W-1164,Jeffrey Johnson,Construction,2012-01-27,47215,EMP-115
EMP-W-1165,Michael Powell,Construction,2012-03-11,77092,EMP-104
EMP-W-1166,John Anderson,Warehouse,2011-09-11,45747,EMP-117
EMP-W-1167,Alyssa Long,Supervisor,2009-06-12,78768,EMP-134
EMP-W-1168,Alyssa Day,Machinist,2020-11-23,68929,EMP-109
EMP-W-1169,Joel Williams,Office,2014-02-20,59180,EMP-109
EMP-W-1170,Daniel Murphy,Driver,11/30/2014,61266,EMP-126
EMP-W-1171,Jamie Walton,Supervisor,2006-03-24,50213,EMP-134
EMP-W-1172,Darlene Miller,Office,2003-08-12,70029,EMP-103
EMP-W-1173,Joshua Cooke,Office,2015-03-27,53810,EMP-124
EMP-W-1174,Matthew Harrington,Office,08/20/2023,39939,EMP-130
EMP-W-1175,Nicole Herring,Supervisor,2024-03-31,38997,EMP-119
EMP-W-1176,Alex Hernandez,Office,2007-01-07,65106,EMP-134
EMP-W-1177,Michael Elliott,Construction,08/14/2014,90423,EMP-114
EMP-W-1178,Michael Wang,Office,2012-04-08,64879,EMP-131
EMP-W-1179,Lawrence Adkins,Office,2023-03-18,59864,EMP-121
EMP-W-1180,Robert Oconnell,Machinist,2006-05-17,67144,EMP-129
EMP-W-1181,Alexander Collins,Laborer,2018-10-14,85508,EMP-125
EMP-W-1182,Tina Sanders,Driver,2023-04-18,65948,EMP-127
EMP-W-1183,Angela Vaughn,Construction,2018-06-04,54603,EMP-111
EMP-W-1184,Ashley Barton,Welder,2022-04-04,81913,EMP-124
EMP-W-1185,Lindsay Martinez,Warehouse,2009-10-29,69717,EMP-129
EMP-W-1186,Dr. Hannah Patterson,Supervisor,2009-11-06,89643,EMP-124
EMP-W-1187,Jonathan Peterson,Office,2012-01-12,65298,EMP-116
EMP-W-1188,Samantha Garcia,Construction,2020-11-02,39959,EMP-101
EMP-W-1189,Madison Poole,Laborer,2000-04-25,37373,EMP-122
EMP-W-1190,Jessica Gross,Driver,2014-06-15,91716,EMP-102
EMP-W-1191,Debra Morton,Warehouse,02/13/2023,93025,EMP-112
EMP-W-1192,Karen Graham,Machinist,2023-08-07,58768,EMP-115
EMP-W-1193,Debra Christian,Construction,11/06/2018,55102,EMP-107
EMP-W-1194,Angelica Keith,Construction,25-SEP-2014,88305,EMP-116
EMP-W-1195,John Bishop,Machinist,2007-12-19,42073,EMP-138
EMP-W-1196,Allen Rosales,Machinist,2019-05-17,45894,EMP-119
EMP-W-1197,Daniel Salinas,Laborer,2019-08-30,73579,EMP-119
EMP-W-1198,Spencer Haynes,Office,2007-09-04,54897,EMP-112
EMP-W-1199,Adam Vaughan,Warehouse,2021-02-06,61907,EMP-106
EMP-W-1200,Nathan Freeman,Driver,2010-12-25,59058,EMP-136
EMP-W-1201,Melissa Brewer,Supervisor,2022-09-02,68076,EMP-134
EMP-W-1202,Ricky Davis II,Supervisor,2005-04-18,87334,EMP-104
EMP-W-1203,Elizabeth Perkins,Supervisor,10/25/2001,63630,EMP-100
EMP-W-1204,Joseph Coleman,Construction,09/01/2005,73590,EMP-106
EMP-W-1205,Erin Warner,Supervisor,2005-01-24,28000,EMP-129
EMP-W-1206,David Martinez,Office,25-AUG-2017,61123,EMP-111
EMP-W-1207,Bryan Herrera,Welder,2001-02-08,46821,EMP-139
EMP-W-1208,Cathy Robinson,Construction,2000-05-15,40061,EMP-129
EMP-W-1209,Dr. William Warren,Welder,2004-12-21,46193,EMP-120
EMP-W-1210,Brian Lee,Driver,2013-07-01,55985,EMP-117
EMP-W-1211,Christopher Smith,Warehouse,2004-04-16,78486,EMP-129
EMP-W-1212,Denise Mccann,Supervisor,07/06/2007,38124,EMP-101
EMP-W-1213,Melissa Martinez,Supervisor,04-MAY-2002,62551,EMP-111
EMP-W-1214,Katherine Salas,Warehouse,2002-08-22,53284,EMP-122
EMP-W-1215,Julie Alexander,Supervisor,2012-12-03,56101,EMP-117
EMP-W-1216,Anthony Everett,Laborer,2012-02-13,80049,EMP-133
EMP-W-1217,Rodney Morales,Driver,2015-12-10,71686,EMP-115
EMP-W-1218,Mark Brown,Construction,2006-04-13,86073,EMP-135
EMP-W-1219,Justin Torres,Construction,2013-09-24,59218,EMP-131
EMP-W-1220,Bailey Duran DDS,Laborer,2004-05-29,49473,EMP-105
EMP-W-1221,Courtney Mills,Warehouse,25-APR-2011,57970,EMP-125
EMP-W-1222,Jeremy Dalton,Welder,2013-08-06,66364,EMP-137
EMP-W-1223,Elizabeth Oliver DDS,construction,2007-12-16,65178,EMP-135
EMP-W-1224,Theresa Clark,Supervisor,2000-09-11,42481,EMP-127
EMP-W-1225,Matthew Moore,Supervisor,2009-09-03,63628,EMP-129
EMP-W-1226,Benjamin Smith,Welder,05/11/2012,66108,EMP-116
EMP-W-1227,Kirk Carter,Driver,2014-03-03,107314,EMP-112
EMP-W-1228,Michael Warner,Driver,2010-05-11,95783,EMP-134
EMP-W-1229,Michael Bradshaw,Warehouse,2016-03-16,46641,EMP-113
EMP-W-1230,Lori Guerrero,Welder,2002-10-16,56827,EMP-137
EMP-W-1231,Jessica Stephens,Welder,2000-12-23,35658,EMP-106
EMP-W-1232,Susan Serrano,Welder,2015-10-21,51367,EMP-114
EMP-W-1233,Christopher Parker,Machinist,2008-04-28,67680,EMP-119
EMP-W-1234,Laura Roberts,Machinist,2023-11-17,83705,EMP-117
EMP-W-1235,Michael Lyons,Laborer,06/21/2022,48876,EMP-135
EMP-W-1236,Kathryn Snyder,Machinist,05/29/2011,50225,EMP-131
EMP-W-1237,Andrew Reynolds,Laborer,2019-11-29,28000,EMP-136
EMP-W-1238,David Davis,Construction,2011-10-04,59072,EMP-130
EMP-W-1239,Sara Johnston,Supervisor,2004-10-02,42876,EMP-111
EMP-W-1240,Yvonne Chambers,Welder ,2022-03-17,52470,EMP-130
EMP-W-1241,Andrew Avila,Driver,24-MAY-2019,46216,EMP-125
EMP-W-1242,Matthew Moon,Driver,2002-06-15,60303,EMP-136
EMP-W-1243,Kevin Walters,Machinist,02/08/2022,30360,EMP-109
EMP-W-1244,Brandon Bailey MD,Driver,11/18/2010,35593,EMP-115
EMP-W-1245,Shannon Rivera,Office,03/14/2019,100326,EMP-138
EMP-W-1246,Donna Landry,Office,2014-05-22,38826,EMP-128
EMP-W-1247,Krista Gibson,Welder,08/26/2004,42257,EMP-137
EMP-W-1248,Frank Cordova,Welder,2005-04-11,95064,EMP-136
EMP-W-1249,Jose Travis,Driver,2021-10-23,114291,EMP-113
EMP-W-1250,Kimberly Gutierrez,Welder,2015-01-17,40911,EMP-105
EMP-W-1251,Isaiah Avila,Warehouse,2017-06-19,55371,EMP-111
EMP-W-1252,Olivia Harris,Machinist,22-FEB-2021,68147,EMP-100
EMP-W-1253,Tanya Kim,Construction,2006-03-09,93116,EMP-138
EMP-W-1254,Barbara Dudley,Welder,2003-06-07,44236,EMP-102
EMP-W-1255,Cynthia Moore,Welder,2014-02-16,57584,EMP-118
EMP-W-1256,Kristen Davis,Driver,2004-02-23,75992,EMP-114
EMP-W-1257,Susan Murray MD,Warehouse,08/23/2012,69825,EMP-127
EMP-W-1258,Kathleen Moran,Warehouse,2019-05-13,55229,EMP-109
EMP-W-1259,Denise Davenport,Machinist,2012-08-05,59591,EMP-104
EMP-W-1260,Mrs. Kristen Reyes,Machinist,11/01/2021,37251,EMP-119
EMP-W-1261,Katie Suarez,Construction,07/26/2011,57712,EMP-107
EMP-W-1262,Desiree Tyler,Welder,2003-06-27,57205,EMP-125
EMP-W-1263,Timothy Romero,Construction,19-APR-2012,66179,EMP-128
EMP-W-1264,Diane Evans,Laborer,11/26/2020,52004,EMP-127
EMP-W-1265,Yvonne Burns,Welder,2010-01-20,70487,EMP-101
EMP-W-1266,Joshua Reed,Warehouse,2020-05-31,80228,EMP-136
EMP-W-1267,Kimberly Gibson,Welder,2023-08-01,64797,EMP-136
EMP-W-1268,Colin Terry,Machinist,2022-09-15,68331,EMP-130
EMP-W-1269,Cynthia Rowe,Construction,26-MAR-2001,62956,EMP-117
EMP-W-1270,Patrick Thornton,Office,2016-05-15,62001,EMP-131
EMP-W-1271,Jasmin Alvarado,Construction,2020-06-02,49011,EMP-122
EMP-W-1272,Veronica Simpson,Supervisor,12-MAR-2006,67696,EMP-120
EMP-W-1273,Jonathan Lawrence,Machinist,10/27/2019,60248,EMP-121
EMP-W-1274,Shelly Alexander,Construction,2006-01-17,99677,EMP-118
EMP-W-1275,Joyce Bowen,Laborer,2006-07-19,90320,EMP-129
EMP-W-1276,Matthew Moore,Supervisor,2020-07-24,68945,EMP-116
EMP-W-1277,Wayne Morgan,Driver,2010-01-04,48264,EMP-125
EMP-W-1278,Marie Christian,Laborer,2001-06-05,41976,EMP-134
EMP-W-1279,Shannon James,Office,2003-10-15,83440,EMP-103
EMP-W-1280,Nathan Malone,Supervisor,2016-02-05,66729,EMP-139
EMP-W-1281,Amanda Jones,Construction,2002-02-24,70642,EMP-103
EMP-W-1282,Tammie Bright,Welder,2015-05-19,30597,EMP-135
EMP-W-1283,Jessica Garcia,Welder,2018-08-20,78693,EMP-128
EMP-W-1284,Shelia Wallace,Driver,2002-10-08,70179,EMP-101
EMP-W-1285,Stephanie Williams,Machinist,2013-10-11,42012,EMP-119
EMP-W-1286,Elaine Brooks,Office,2023-11-24,53512,EMP-105
EMP-W-1287,Joseph Knight,Driver,2014-06-07,66746,EMP-129
EMP-W-1288,Carolyn Miller,Machinist,2019-03-30,62944,EMP-131
EMP-W-1289,Lisa Allen,Welder,06/03/2011,56740,EMP-126
EMP-W-1290,Briana Murray,Construction,2002-11-13,60137,EMP-115
EMP-W-1291,David Smith,Machinist ,01/09/2004,57464,EMP-124
EMP-W-1292,Stephanie Byrd,Machinist,12/18/2015,64746,EMP-104
EMP-W-1293,Jeremy Reed,Office,2012-02-13,88486,EMP-121
EMP-W-1294,Margaret Coleman,Welder,2001-09-26,28000,EMP-100
EMP-W-1295,Ryan Gonzalez,Welder,2011-10-28,57736,EMP-137
EMP-W-1296,John Young,Machinist,2002-07-19,65177,EMP-128
EMP-W-1297,Laura Haney,Construction,08-MAY-2000,67327,EMP-122
EMP-W-1298,William Barrett,Office,08/07/2009,55305,EMP-129
EMP-W-1299,Keith Jennings,Warehouse,01/28/2010,30379,EMP-115
EMP-W-1300,Amber Obrien,Warehouse,2007-05-02,67903,EMP-126
EMP-W-1301,Tanner Mitchell DDS,Supervisor,2022-07-21,93092,EMP-130
EMP-W-1302,Heather Fields,Office,05/30/2007,34390,EMP-109
EMP-W-1303,Megan Le,Laborer,04/17/2002,77548,EMP-108
EMP-W-1304,Sara Fuller,Supervisor,2001-12-24,56086,EMP-106
EMP-W-1305,Maria Parker,Driver,10/05/2004,60896,EMP-133
EMP-W-1306,Kevin Oconnor,Laborer,2004-01-06,43047,EMP-109
EMP-W-1307,Edward Burgess,Machinist,2006-02-13,55979,EMP-104
EMP-W-1308,Carlos Ryan,Welder,06/14/2003,85400,EMP-121
EMP-W-1309,Kiara Mcintyre,Driver,2006-09-06,72487,EMP-121
EMP-W-1310,Dawn Summers,Office,07/29/2000,93181,EMP-120
EMP-W-1311,Dr. Paul Morgan,Laborer,2002-08-16,83193,EMP-139
EMP-W-1312,Victor Taylor,Warehouse,06/10/2021,69903,EMP-118
EMP-W-1313,Shannon Ramsey,Driver,2014-04-22,93390,EMP-127
EMP-W-1314,Tracy Ballard,Driver,2020-02-05,69901,EMP-128
EMP-W-1315,Richard Smith,Welder,2017-01-18,76903,EMP-101
EMP-W-1316,Jordan Chambers,Supervisor,2022-06-13,56661,EMP-103
EMP-W-1317,Lauren Carson,Supervisor,2011-05-09,63197,EMP-123
EMP-W-1318,Ashley Hall,Machinist,2005-03-11,49446,EMP-115
EMP-W-1319,Stephen Hoffman,Office,2000-09-07,79812,EMP-136
EMP-W-1320,Connie Brown,Machinist,2016-06-07,40790,EMP-111
EMP-W-1321,Susan Turner,Office,12/20/2020,76082,EMP-139
EMP-W-1322,Charles Shah,Construction,2013-09-16,58568,EMP-137
EMP-W-1323,Johnathan Davis,Warehouse,2018-02-03,83082,EMP-129
EMP-W-1324,Brandy Chavez,Construction,2013-02-12,75515,EMP-116
EMP-W-1325,Natalie Bautista,Construction,2024-02-03,94771,EMP-118
EMP-W-1326,Patrick Moore,Driver,2017-06-04,75153,EMP-128
EMP-W-1327,Brett Burns,Welder,2009-01-04,33703,EMP-127
EMP-W-1328,Trevor Johnson,Construction,2013-04-17,60794,EMP-119
EMP-W-1329,Jeremy Sampson,Office,30-JUL-2015,40903,EMP-130
EMP-W-1330,Ariana Jennings,Warehouse,2019-09-23,52670,EMP-124
EMP-W-1331,Vanessa Howard,Welder,2008-05-29,89202,EMP-118
EMP-W-1332,Colton Martinez,Office,2023-07-12,73475,EMP-117
EMP-W-1333,Jordan Bates,Laborer,2024-02-24,49419,EMP-138
EMP-W-1334,Linda Smith,Welder,2002-03-25,43753,EMP-114
EMP-W-1335,Dana Martinez,Warehouse,2008-09-15,62590,EMP-112
EMP-W-1336,Andrea Hubbard,Machinist,2013-04-08,40101,EMP-106
EMP-W-1337,Daniel Kane,Welder,2022-09-29,49919,EMP-128
EMP-W-1338,Charles Lester,Supervisor,01/06/2023,67616,EMP-108
EMP-W-1339,Scott Thomas,Welder,2020-06-20,82795,EMP-120
EMP-W-1340,David Thompson,Machinist,2005-11-15,72957,EMP-112
EMP-W-1341,Allison Smith,Supervisor,08/01/2018,28000,EMP-133
EMP-W-1342,Cynthia Morris,Welder,2002-01-01,67478,EMP-110
EMP-W-1343,Anthony Harmon,Construction,25-DEC-2012,63296,EMP-118
EMP-W-1344,Nichole Alvarez,Driver,2009-04-26,69450,EMP-129
EMP-W-1345,Kayla Rodriguez,Machinist,2021-02-18,91091,EMP-114
EMP-W-1346,Theresa Williams,Supervisor,2006-09-07,28000,EMP-105
EMP-W-1347,Sharon Boyd,Laborer,2006-10-24,51360,EMP-116
EMP-W-1348,Victor Brown,Driver,2000-06-10,72636,EMP-129
EMP-W-1349,James Parks,Welder,2007-12-24,33531,EMP-137
EMP-W-1350,Theodore Jones Jr.,Supervisor,03-JUN-2007,88567,EMP-106
EMP-W-1351,Ana Hill,Construction,2014-01-09,68630,EMP-101
EMP-W-1352,Kimberly Nguyen,Warehouse,18-OCT-2009,77238,EMP-104
EMP-W-1353,Kerry Chavez DDS,Welder,2003-09-08,51723,EMP-126
EMP-W-1354,Michael Farrell,Machinist,04/12/2019,76647,EMP-102
EMP-W-1355,Patricia Le,Welder,2022-11-04,81232,EMP-131
EMP-W-1356,Jesse Perez,Driver,2019-04-21,66191,EMP-115
EMP-W-1357,Jesse Perry,Machinist,2000-05-25,66219,EMP-124
EMP-W-1358,Jeffery Ortega,Supervisor,2004-02-29,66866,EMP-134
EMP-W-1359,Christian Leblanc,Machinist,2005-09-17,46459,EMP-126
EMP-W-1360,Ronald Davis,Construction,2020-01-26,59344,EMP-139
EMP-W-1361,Parker Cain,Welder,2006-03-16,59254,EMP-102
EMP-W-1362,Laurie Hoffman,Warehouse,2007-11-22,68901,EMP-128
EMP-W-1363,Bryan Gomez,Warehouse,2004-07-25,79996,EMP-123
EMP-W-1364,Nicole Parrish,Supervisor,01/21/2020,42946,EMP-134
EMP-W-1365,Tracy Burke,Laborer,03-JUN-2008,59749,EMP-125
